Trial_num,image_path,image_name,object_type
Trial # 151/300,Object2/beewax/beewax7.jpg,beewax7,beewax
Trial # 152/300,Object2/jade/jade12.jpg,jade12,jade
Trial # 153/300,Object2/mangojelly/mangojelly3.jpg,mangojelly3,mangojelly
Trial # 154/300,Object2/marble/marble1.jpg,marble1,marble
Trial # 155/300,Object2/glass/glasschess3.jpg,glasschess3,glass
Trial # 156/300,Object2/jade/jade5BB.jpg,jade5BB,jade
Trial # 157/300,Object2/beewax/beewax9.jpg,beewax9,beewax
Trial # 158/300,Object2/cheese/cheese12.jpg,cheese12,cheese
Trial # 159/300,Object2/seashell/seashell6.jpg,seashell6,seashell
Trial # 160/300,Object2/plasticbowl/bowl1.jpg,bowl1,plasticbowl
Trial # 161/300,Object2/tofu/tofu7.jpg,tofu7,tofu
Trial # 162/300,Object2/cheesecake/cheesecake4.jpg,cheesecake4,cheesecake
Trial # 163/300,Object2/peeledpumkin/peeledpumkin2.jpg,peeledpumkin2,peeledpumkin
Trial # 164/300,Object2/beewax/beewax4.jpg,beewax4,beewax
Trial # 165/300,Object2/metal/metal17.jpg,metal17,metal
Trial # 166/300,Object2/icecream/icecream1.jpg,icecream1,icecream
Trial # 167/300,Object2/fishmeat/fishmeat1.jpg,fishmeat1,fishmeat
Trial # 168/300,Object2/wax/PinkWax2.jpg,PinkWax2,wax
Trial # 169/300,Object2/honeycandy/honeycandy2.jpg,honeycandy2,honeycandy
Trial # 170/300,Object2/metal/metal8.jpg,metal8,metal
Trial # 171/300,Object2/pearl/pearl4.jpg,pearl4,pearl
Trial # 172/300,Object2/fluorite/fluorite2.jpg,fluorite2,fluorite
Trial # 173/300,Object2/soaps/sulfursoap1.jpg,sulfursoap1,soaps
Trial # 174/300,Object2/tuna/tuna4BB.jpg,tuna4BB,tuna
Trial # 175/300,Object2/cheesewax/cheesewax5.jpg,cheesewax5,cheesewax
Trial # 176/300,Object2/wood/woodcube1.jpg,woodcube1,wood
Trial # 177/300,Object2/salmon/salmon3.jpg,salmon3,salmon
Trial # 178/300,Object2/jade/jade13.jpg,jade13,jade
Trial # 179/300,Object2/soaps/sulfursoap2.jpg,sulfursoap2,soaps
Trial # 180/300,Object2/fluorite/fluorite4.jpg,fluorite4,fluorite
Trial # 181/300,Object2/sponge/sponge1.jpg,sponge1,sponge
Trial # 182/300,Object2/polymer/urethane1.jpg,urethane1,polymer
Trial # 183/300,Object2/resin/resincube1.jpg,resincube1,resin
Trial # 184/300,Object2/cheese/cheese16.jpg,cheese16,cheese
Trial # 185/300,Object2/beewax/beeswax1.jpg,beeswax1,beewax
Trial # 186/300,Object2/cheese/cheese8.jpg,cheese8,cheese
Trial # 187/300,Object2/OrangeWedge/orangewedge1.jpg,orangewedge1,OrangeWedge
Trial # 188/300,Object2/pomegranate/pomegranate2.jpg,pomegranate2,pomegranate
Trial # 189/300,Object2/fishmeat/fishmeat5.jpg,fishmeat5,fishmeat
Trial # 190/300,Object2/glass/glasschess2.jpg,glasschess2,glass
Trial # 191/300,Object2/meat/rmeat3BB.jpg,rmeat3BB,meat
Trial # 192/300,Object2/sugarcube/sugarcube5.jpg,sugarcube5,sugarcube
Trial # 193/300,Object2/waxcube/waxcube1.jpg,waxcube1,waxcube
Trial # 194/300,Object2/beewax/beewax6.jpg,beewax6,beewax
Trial # 195/300,Object2/meat/meat5BB.jpg,meat5BB,meat
Trial # 196/300,Object2/sugarcube/sugarcube2.jpg,sugarcube2,sugarcube
Trial # 197/300,Object2/dougao/dougao1.jpg,dougao1,dougao
Trial # 198/300,Object2/mochi/mochi8.jpg,mochi8,mochi
Trial # 199/300,Object2/GlycerinSoap/GlycerinSoap2.jpg,GlycerinSoap2,GlycerinSoap
Trial # 200/300,Object2/soaps/limesoap1.jpg,limesoap1,soaps
Trial # 201/300,Object2/meat/meat3BB.jpg,meat3BB,meat
Trial # 202/300,Object2/copper/copper3.jpg,copper3,copper
Trial # 203/300,Object2/GlycerinSoap/glycerin6.jpg,glycerin6,GlycerinSoap
Trial # 204/300,Object2/egg/egg5.jpg,egg5,egg
Trial # 205/300,Object2/beewax/beeswax3.jpg,beeswax3,beewax
Trial # 206/300,Object2/wax/wax4BB.jpg,wax4BB,wax
Trial # 207/300,Object2/tofu/tofu3.jpg,tofu3,tofu
Trial # 208/300,Object2/kiwi/kiwi2.jpg,kiwi2,kiwi
Trial # 209/300,Object2/bread/bread2.jpg,bread2,bread
Trial # 210/300,Object2/JellyMooncake/JellyMooncake5.jpg,JellyMooncake5,JellyMooncake
Trial # 211/300,Object2/seashell/seashell4.jpg,seashell4,seashell
Trial # 212/300,Object2/clay/clay12.jpg,clay12,clay
Trial # 213/300,Object2/crystal/crystal3.jpg,crystal3,crystal
Trial # 214/300,Object2/watermelonchunk/watermelonchunk2.jpg,watermelonchunk2,watermelonchunk
