Trial_num,image_path,image_name,object_type
Trial # 64/300,Object2/cookie/cookie3.jpg,cookie3,cookie
Trial # 65/300,Object2/soaps/soap7.jpg,soap7,soaps
Trial # 66/300,Object2/eggyolk/eggyolk8.jpg,eggyolk8,eggyolk
Trial # 67/300,Object2/fishmeat/fishmeat5.jpg,fishmeat5,fishmeat
Trial # 68/300,Object2/honeydew/honeydew2.jpg,honeydew2,honeydew
Trial # 69/300,Object2/cheese/cheese11.jpg,cheese11,cheese
Trial # 70/300,Object2/steel/steelcube.jpg,steelcube,steel
Trial # 71/300,Object2/cheesewax/cheesewax5.jpg,cheesewax5,cheesewax
Trial # 72/300,Object2/lightbulb/lightbulb1.jpg,lightbulb1,lightbulb
Trial # 73/300,Object2/ice/ice6.jpg,ice6,ice
Trial # 74/300,Object2/glass/glasschess2.jpg,glasschess2,glass
Trial # 75/300,Object2/onion/onion4.jpg,onion4,onion
Trial # 76/300,Object2/rock/brownrock.jpg,brownrock,rock
Trial # 77/300,Object2/marble/marblestatue2.jpg,marblestatue2,marble
Trial # 78/300,Object2/soaps/tarsoap2.jpg,tarsoap2,soaps
Trial # 79/300,Object2/meat/meat4BB.jpg,meat4BB,meat
Trial # 80/300,Object2/palmivory/palmivory3.jpg,palmivory3,palmivory
Trial # 81/300,Object2/bronze/bronzehead.jpg,bronzehead,bronze
Trial # 82/300,Object2/copper/copperBB.jpg,copperBB,copper
Trial # 83/300,Object2/tuna/tuna11.jpg,tuna11,tuna
Trial # 84/300,Object2/OrangeWedge/orangewedge1.jpg,orangewedge1,OrangeWedge
Trial # 85/300,Object2/peeledlemon/peeledlemon5.jpg,peeledlemon5,peeledlemon
Trial # 86/300,Object2/quartz/yellowstone6BB.jpg,yellowstone6BB,quartz
Trial # 87/300,Object2/meat/meat5BB.jpg,meat5BB,meat
Trial # 88/300,Object2/caramelcandy/caramelcandy1.jpg,caramelcandy1,caramelcandy
Trial # 89/300,Object2/butter/butter1.jpg,butter1,butter
Trial # 90/300,Object2/fluorite/fluorite7.jpg,fluorite7,fluorite
Trial # 91/300,Object2/wax/wax2.jpg,wax2,wax
Trial # 92/300,Object2/hamslice/hamslice2.jpg,hamslice2,hamslice
Trial # 93/300,Object2/lucitefruit/lucitefruit3.jpg,lucitefruit3,lucitefruit
Trial # 94/300,Object2/mochi/mochi13.jpg,mochi13,mochi
Trial # 95/300,Object2/ruber/eraser3.jpg,eraser3,ruber
Trial # 96/300,Object2/GlycerinSoap/glycerin6.jpg,glycerin6,GlycerinSoap
